mileage,dealer,location,price,make,website
"410,460 mi",Arrow Truck Sales,"Fontana, CA","$71,950",2016 FREIGHTLINER CASCADIA,https://www.equipmentexperts.com/trucking/heavy-duty/trucktractor/freightliner/cascadia-2016/ee-listing-42149771
"470,722 mi",Arrow Truck Sales,"Elizabeth, NJ","$109,950",2020 KENWORTH T680,https://www.equipmentexperts.com/trucking/heavy-duty/trucktractor/kenworth/t680-2020/ee-listing-42076515
"577,737 mi",Arrow Truck Sales,"French Camp, CA","$79,950",2018 FREIGHTLINER CASCADIA EVOLUTION,https://www.equipmentexperts.com/trucking/heavy-duty/trucktractor/freightliner/cascadiaevolution-2018/ee-listing-42165524
"538,083 mi",Arrow Truck Sales,"Maple Shade, NJ","$62,950",2017 KENWORTH T680,https://www.equipmentexperts.com/trucking/heavy-duty/trucktractor/kenworth/t680-2017/ee-listing-42129821
"572,036 mi",Arrow Truck Sales,"Bolingbrook, IL","$62,950",2015 VOLVO VNL630,https://www.equipmentexperts.com/trucking/heavy-duty/trucktractor/volvo/vnl630-2015/ee-listing-42096745
"718,368 mi",Doggett Freightliner,"Pharr, TX","$59,900",2018 Kenworth T680,https://www.equipmentexperts.com/trucking/heavy-duty/trucktractor/kenworth/t680-2018/ee-listing-42159671
"350,999 mi",Arrow Truck Sales,"Elizabeth, NJ",Call For Price,2022 VOLVO VNL760,https://www.equipmentexperts.com/trucking/heavy-duty/trucktractor/volvo/vnl760-2022/ee-listing-42141228
"727,800 mi",SelecTrucks of Alabama/Birmingham Freightliner,"Birmingham, AL","$69,900",2016 FREIGHTLINER CASCADIA 125,https://www.equipmentexperts.com/trucking/heavy-duty/trucktractor/freightliner/cascadia125-2016/ee-listing-42130777
"501,000 mi",Arrow Truck Sales,"Phoenix, AZ","$39,950",2014 FREIGHTLINER CASCADIA,https://www.equipmentexperts.com/trucking/heavy-duty/trucktractor/freightliner/cascadia-2014/ee-listing-42165541
"434,486 mi",Arrow Truck Sales,"Fontana, CA","$82,950",2019 FREIGHTLINER CASCADEVO1,https://www.equipmentexperts.com/trucking/heavy-duty/trucktractor/freightliner/cascadevo1-2019/ee-listing-42143714
"563,633 mi",Arrow Truck Sales,"Elizabeth, NJ","$94,950",2020 FREIGHTLINER CASCADIA,https://www.equipmentexperts.com/trucking/heavy-duty/trucktractor/freightliner/cascadia-2020/ee-listing-42097775
"312,616 mi",Diamond Truck Sales Inc,"Bakersfield, CA","$71,900",2020 INTERNATIONAL LT,https://www.equipmentexperts.com/trucking/heavy-duty/trucktractor/international/lt-2020/ee-listing-42170497
"278,461 mi",Arrow Truck Sales,"Houston, TX","$69,950",2016 FREIGHTLINER CASCADIA,https://www.equipmentexperts.com/trucking/heavy-duty/trucktractor/freightliner/cascadia-2016/ee-listing-42178822
"54,114 mi",Kenworth of Louisiana,"Gray, LA",Call For Price,2015 KENWORTH T800,https://www.equipmentexperts.com/trucking/heavy-duty/trucktractor/kenworth/t800-2015/ee-listing-41966438
"32,843 mi",Steve England Truck Sales Inc,"Searcy, AR",Call For Price,2013 PETERBILT 367,https://www.equipmentexperts.com/trucking/heavy-duty/trucktractor/peterbilt/367-2013/ee-listing-41954496
"398,192 mi",Kordell Truck and Trailer Sales Inc,"Dubuque, IA","$97,500",2019 VOLVO 760,https://www.equipmentexperts.com/trucking/heavy-duty/trucktractor/volvo/760-2019/ee-listing-42158823
"201,058 mi",Dobbs Peterbilt,"North Little Rock, AR","$199,950",2022 PETERBILT 389,https://www.equipmentexperts.com/trucking/heavy-duty/trucktractor/peterbilt/389-2022/ee-listing-42153567
"516,300 mi",Bruckner Truck Sales,"Oklahoma City, OK","$154,900",2019 Kenworth W900L,https://www.equipmentexperts.com/trucking/heavy-duty/trucktractor/kenworth/w900l-2019/ee-listing-42158706
"508,575 mi",The Peterbilt Store,"Davie, FL","$74,900",2017 Peterbilt 579,https://www.equipmentexperts.com/trucking/heavy-duty/trucktractor/peterbilt/579-2017/ee-listing-42181925
"640,566 mi",Schneider,"Salt Lake City, UT","$46,000",2017 Freightliner Cascadia,https://www.equipmentexperts.com/trucking/heavy-duty/trucktractor/freightliner/cascadia-2017/ee-listing-42178870
"515,754 mi",Arrow Truck Sales,"Converse, TX","$84,950",2019 PETERBILT 579,https://www.equipmentexperts.com/trucking/heavy-duty/trucktractor/peterbilt/579-2019/ee-listing-42118785
"579,077 mi",Schneider,"Portland, OR","$55,500",2018 International LT,https://www.equipmentexperts.com/trucking/heavy-duty/trucktractor/international/lt-2018/ee-listing-42171679
"334,578 mi",The Peterbilt Store,"Davie, FL","$174,900",2017 Peterbilt 389,https://www.equipmentexperts.com/trucking/heavy-duty/trucktractor/peterbilt/389-2017/ee-listing-42145855
"572,000 mi",Southport Truck Group,"Tampa, FL","$69,900",2018 Freightliner Cascadia 126,https://www.equipmentexperts.com/trucking/heavy-duty/trucktractor/freightliner/cascadia126-2018/ee-listing-42158771
null,"Iron Dogs Equipment Sales, LLC","Union City, TN","$35,000",2016 INTERNATIONAL PROSTAR,https://www.equipmentexperts.com/trucking/heavy-duty/trucktractor/international/prostar-2016/ee-listing-42145026
"490,144 mi",International Used Truck Center,"Commerce City, CO","$59,900",2018 Kenworth Motor Truck Co. T680,https://www.equipmentexperts.com/trucking/heavy-duty/trucktractor/kenworthmotortruckco/t680-2018/ee-listing-42184328
"541,706 mi",Arrow Truck Sales,"Strafford, MO","$87,950",2018 VOLVO VNL780,https://www.equipmentexperts.com/trucking/heavy-duty/trucktractor/volvo/vnl780-2018/ee-listing-42080375
"516,890 mi",Jordan Truck Sales of Texas LLC,"Rhome, TX","$79,000",2019 VOLVO VNL64T760,https://www.equipmentexperts.com/trucking/heavy-duty/trucktractor/volvo/vnl64t760-2019/ee-listing-42184402
"574,228 mi",Bergey's Truck Centers,"Souderton, PA","$29,900",2016 Mack PINNACLE CXU612,https://www.equipmentexperts.com/trucking/heavy-duty/trucktractor/mack/pinnaclecxu612-2016/ee-listing-42138077
"621,109 mi",Arrow Truck Sales,"Cincinnati, OH","$67,950",2017 KENWORTH T680,https://www.equipmentexperts.com/trucking/heavy-duty/trucktractor/kenworth/t680-2017/ee-listing-42133490
